Distance_(mm),Gray_Value
6.1152,17.7239
6.1213,17.5346
6.1274,17.3713
6.1335,17.3652
6.1396,17.3650
6.1456,17.5051
6.1517,17.5594
6.1578,17.5293
6.1639,17.5183
6.1700,17.4890
6.1760,17.4777
6.1821,17.4668
6.1882,17.3868
6.1943,17.3970
6.2004,17.4749
6.2064,17.4186
6.2125,17.3778
6.2186,17.3355
6.2247,17.2569
6.2307,17.1562
6.2368,17.0374
6.2429,17.0000
6.2490,17.0452
6.2551,17.0652
6.2611,17.0452
6.2672,17.0871
6.2733,17.3148
6.2794,17.5075
6.2855,17.6726
6.2915,17.8018
6.2976,17.9784
6.3037,18.1231
6.3098,18.2260
6.3158,18.3158
6.3219,18.3688
6.3280,18.3549
6.3341,18.2477
6.3402,18.0803
6.3462,17.8472
6.3523,17.6371
6.3584,17.3554
6.3645,17.0185
6.3706,16.7906
6.3766,16.6772
6.3827,16.5915
6.3888,16.5434
6.3949,16.4419
6.4009,16.2702
6.4070,16.0790
6.4131,15.8595
6.4192,15.7568
6.4253,15.7430
6.4313,15.7112
6.4374,15.6439
6.4435,15.6633
6.4496,15.7059
6.4557,15.7251
6.4617,15.7464
6.4678,15.8368
6.4739,15.8720
6.4800,15.8189
6.4861,15.6877
6.4921,15.5716
6.4982,15.5698
6.5043,15.5444
6.5104,15.4314
6.5164,15.3289
6.5225,15.2449
6.5286,15.2165
6.5347,15.3614
6.5408,15.4351
6.5468,15.4574
6.5529,15.4464
6.5590,15.4640
6.5651,15.4117
6.5712,15.3405
6.5772,15.3017
6.5833,15.2116
6.5894,15.1379
6.5955,15.0507
6.6015,15.0248
6.6076,14.9519
6.6137,14.8676
6.6198,14.7324
6.6259,14.6114
6.6319,14.4226
6.6380,14.1706
6.6441,14.1178
6.6502,14.1628
6.6563,14.1746
6.6623,14.1692
6.6684,14.0684
6.6745,13.9569
6.6806,13.8260
6.6867,13.6841
6.6927,13.6280
6.6988,13.6299
6.7049,13.5150
6.7110,13.4579
6.7170,13.4173
6.7231,13.3975
6.7292,13.4259
6.7353,13.4787
6.7414,13.4808
6.7474,13.5069
6.7535,13.5947
6.7596,13.6643
6.7657,13.7744
6.7718,13.8757
6.7778,13.9224
6.7839,13.9350
6.7900,13.9848
6.7961,14.0613
6.8021,14.0992
6.8082,14.0347
6.8143,13.9770
6.8204,13.9229
6.8265,13.8812
6.8325,13.8153
6.8386,13.7558
6.8447,13.7443
6.8508,13.6708
6.8569,13.6744
6.8629,13.6740
6.8690,13.6649
6.8751,13.7651
6.8812,13.8915
6.8873,13.9831
6.8933,13.9882
6.8994,14.0130
6.9055,14.0056
6.9116,14.0112
6.9176,14.0159
6.9237,13.9918
6.9298,14.0216
6.9359,14.1466
6.9420,14.1320
6.9480,14.1190
6.9541,14.0677
6.9602,14.1056
6.9663,14.1643
6.9724,14.1029
6.9784,14.1145
6.9845,14.1554
6.9906,14.2406
6.9967,14.2379
7.0027,14.1253
7.0088,14.0610
7.0149,14.1570
7.0210,14.1947
7.0271,14.1838
7.0331,14.2379
7.0392,14.2738
7.0453,14.3295
7.0514,14.4054
7.0575,14.4382
7.0635,14.4920
7.0696,14.5470
7.0757,14.5678
7.0818,14.5907
7.0879,14.6509
7.0939,14.6449
7.1000,14.7244
7.1061,14.8200
7.1122,14.9072
7.1182,15.0610
7.1243,15.1946
7.1304,15.3724
7.1365,15.5866
7.1426,15.8151
7.1486,15.9590
7.1547,15.9084
7.1608,15.8081
7.1669,15.7058
7.1730,15.6724
7.1790,15.6284
7.1851,15.5191
7.1912,15.3838
7.1973,15.3790
7.2033,15.3426
7.2094,15.3443
7.2155,15.3215
7.2216,15.2534
7.2277,15.1825
7.2337,15.1001
7.2398,15.0632
7.2459,14.9792
7.2520,14.9354
7.2581,14.8817
7.2641,14.8410
7.2702,14.8153
7.2763,14.7870
7.2824,14.7446
7.2885,14.6196
7.2945,14.5449
7.3006,14.4012
7.3067,14.2822
7.3128,14.1878
7.3188,14.1332
